S.NO	A.NO	COM	O.RANK	C.RANK	MARK	C.CODE	BRANCH	CHOICE NO	A.CATEGORY
514	212716	MBC/DNC	790	123	193.5	2711	EE	1	OC
2025	148997	BCM	3050	83	189	2711	EC	1	OC
2299	199450	BC	3470	2024	188	2711	EC	9	OC
2601	206242	BC	3902	2283	187.5	2711	CS	12	OC
3241	127840	BC	4858	2838	185.5	2711	EC	5	OC
3574	122737	OC	5316	-	185	2711	EC	33	OC
3584	196028	BC	5332	3128	185	2711	CS	29	OC
3649	164890	BC	5434	3181	184.5	2711	CS	8	OC
3686	193465	BC	5481	3202	184.5	2711	CS	5	OC
3804	244856	BC	5641	3307	184.5	2711	CS	27	OC
3831	164539	BC	5678	3326	184.25	2711	CS	10	OC
4304	189410	BC	6364	3754	183	2711	EC	6	OC
4310	121701	BC	6371	3759	183	2711	CS	8	OC
4374	175371	BC	6462	3814	183	2711	CS	13	OC
4409	127683	BC	6509	3843	183	2711	CS	19	OC
4533	123621	BC	6708	3966	182.5	2711	EC	7	OC
4587	190942	BC	6783	4004	182.5	2711	CS	15	OC
4634	140862	BC	6844	4042	182.5	2711	CS	6	OC
4694	229422	BC	6924	4089	182.25	2711	EC	12	OC
4696	172798	BC	6929	4092	182.25	2711	EC	1	OC
4753	119127	BC	7003	4139	182	2711	CS	26	OC
4800	154062	BC	7071	4185	182	2711	CS	18	OC
4826	235832	BC	7102	4207	182	2711	EC	1	OC
4850	165635	BC	7142	4225	182	2711	FD	1	OC
4947	171490	BC	7280	4309	181.5	2711	CS	21	OC
4959	208305	BC	7299	4322	181.5	2711	EE	2	OC
5082	212252	BC	7472	4434	181.5	2711	CS	12	OC
5083	123587	BC	7473	4435	181.5	2711	CS	7	OC
5109	208019	OC	7514	-	181.5	2711	CS	23	OC
5144	132716	BC	7574	4491	181	2711	CS	4	OC
5158	250999	BC	7598	4505	181	2711	EC	1	OC
5199	185506	BC	7653	4538	181	2711	CS	1	OC
5221	206694	BC	7678	4555	181	2711	EC	4	OC
5266	188439	BC	7739	4590	181	2711	EC	12	OC
5296	137268	BC	7785	4621	181	2711	IT	1	OC
5340	164587	MBC/DNC	7851	1358	181	2711	EC	1	OC
5347	106917	BC	7864	4670	181	2711	IT	1	OC
5363	198430	BC	7900	4688	180.75	2711	EC	9	OC
5373	237265	BC	7914	4697	180.5	2711	EC	1	OC
5377	174986	BC	7921	4702	180.5	2711	CS	8	OC
5396	194298	BC	7947	4717	180.5	2711	EC	1	OC
5403	134358	BC	7957	4724	180.5	2711	CS	1	OC
5416	148664	BC	7973	4734	180.5	2711	CS	6	OC
5444	184324	MBC/DNC	8013	1383	180.5	2711	IT	9	OC
5456	152247	BC	8036	4781	180.5	2711	CS	1	OC
5470	135553	BC	8053	4791	180.5	2711	CS	9	OC
5486	156827	BC	8071	4805	180.5	2711	CS	12	OC
5495	196900	BC	8084	4814	180.5	2711	EC	22	OC
5496	165800	BC	8085	4815	180.5	2711	EC	3	OC
5499	142324	BC	8092	4820	180.5	2711	CS	24	OC
5528	208647	BC	8126	4839	180.5	2711	CS	8	OC
5532	173554	BC	8131	4840	180.5	2711	CS	19	OC
5534	127110	BC	8133	4842	180.5	2711	CS	12	OC
5538	145796	BC	8140	4846	180.5	2711	CS	1	OC
5573	195764	BC	8186	4875	180.5	2711	FD	1	OC
5593	227898	BC	8222	4897	180.33	2711	CS	17	OC
5633	186111	BC	8281	4927	180	2711	CS	29	OC
5667	100504	BC	8331	4960	180	2711	EC	3	OC
5674	167413	BC	8341	4967	180	2711	EE	6	OC
5706	167921	OC	8386	-	180	2711	CS	5	OC
5708	151267	BC	8388	4997	180	2711	CH	5	OC
5760	154656	BC	8472	5054	180	2711	EC	7	OC
5787	120460	BC	8511	5082	180	2711	EC	11	OC
5827	249139	BC	8580	5113	179.75	2711	CS	10	OC
5839	191599	BC	8597	5126	179.5	2711	CS	24	OC
5848	172686	BC	8612	5136	179.5	2711	CS	8	OC
5866	133364	BC	8634	5151	179.5	2711	CS	4	OC
5873	174107	BC	8642	5155	179.5	2711	CH	3	OC
5888	158083	MBC/DNC	8661	1494	179.5	2711	EC	1	OC
5973	246453	BC	8781	5239	179.5	2711	EC	3	OC
5977	191234	OC	8786	-	179.5	2711	EC	35	OC
5985	120297	BC	8796	5249	179.5	2711	CS	11	OC
6008	105391	BC	8830	5271	179.5	2711	EC	6	OC
6028	159832	BC	8862	5289	179.5	2711	CS	14	OC
6036	159036	BC	8878	5299	179.5	2711	CS	4	OC
6046	224135	MBC/DNC	8897	1541	179.25	2711	EC	10	OC
6103	183884	BC	8977	5350	179	2711	CS	15	OC
6237	208941	BC	9156	5462	179	2711	CS	4	OC
6251	132595	BC	9175	5475	179	2711	CS	28	OC
6259	135308	BC	9190	5484	179	2711	ME	15	OC
6369	195505	BC	9344	5568	178.5	2711	EC	3	OC
6381	148723	OC	9362	-	178.5	2711	EC	7	OC
6400	100623	BC	9386	5592	178.5	2711	EC	1	OC
6456	209979	BC	9454	5639	178.5	2711	CS	15	OC
6487	224422	BC	9503	5668	178.5	2711	CS	4	OC
6578	133115	MBC/DNC	9643	1693	178	2711	CS	10	MBC_DNC
6598	181339	BC	9667	5770	178	2711	FD	2	OC
6602	125499	OC	9675	-	178	2711	IT	8	OC
6611	203002	BC	9685	5779	178	2711	EC	3	OC
6618	188814	BC	9693	5783	178	2711	CS	17	BC
6619	171239	BC	9695	5785	178	2711	CS	6	BC
6620	172031	MBC/DNC	9698	1708	178	2711	CS	7	MBC_DNC
6663	251275	BC	9752	5818	178	2711	CS	1	BC
6688	143457	BC	9789	5846	178	2711	EC	10	OC
6721	120278	BC	9835	5874	178	2711	CS	35	BC
