S.NO	A.NO	COM	O.RANK	C.RANK	MARK	C.CODE	BRANCH	CHOICE NO	A.CATEGORY
12	229579	SC	30	1	199	0004	AE	1	OC
56	246711	BCM	107	3	197.75	0004	AE	1	OC
71	206642	OC	135	-	197.5	0004	CS	2	OC
73	203060	MBC/DNC	137	16	197.5	0004	EC	1	OC
88	194315	BC	162	99	197	0004	EC	1	OC
96	182154	MBC/DNC	174	19	197	0004	AE	1	OC
100	170428	BCM	180	13	197	0004	CS	2	OC
120	101013	OC	211	-	196.5	0004	CS	2	OC
131	171377	BC	233	143	196.5	0004	CS	2	OC
135	165010	OC	241	-	196.5	0004	CS	2	OC
155	208462	BC	278	167	196	0004	MF	1	OC
168	191705	BC	294	179	196	0004	AE	1	OC
173	195817	BC	300	181	196	0004	CS	2	OC
194	126210	BC	331	202	195.5	0004	EC	2	OC
195	178111	BC	332	203	195.5	0004	CS	2	OC
197	195658	BCM	335	21	195.5	0004	CS	2	OC
203	180134	OC	343	-	195.5	0004	EC	2	OC
210	142338	BC	358	218	195.5	0004	CS	2	OC
224	157692	MBC/DNC	380	55	195.5	0004	AE	1	OC
230	235228	OC	390	-	195.33	0004	CS	3	OC
232	180075	BC	392	235	195.25	0004	EC	2	OC
236	244931	MBC/DNC	397	57	195.25	0004	CS	1	OC
239	141843	BC	400	242	195.25	0004	CS	2	OC
248	194676	OC	417	-	195	0004	CS	3	OC
252	103913	BCM	422	23	195	0004	AE	1	OC
260	196692	BC	432	254	195	0004	CS	1	OC
266	122670	OC	439	-	195	0004	CS	2	OC
270	135122	OC	444	-	195	0004	CS	3	OC
277	105161	BC	453	264	195	0004	EC	2	OC
279	192253	BC	456	267	195	0004	CS	3	OC
288	197989	BC	472	277	195	0004	EC	2	OC
290	157903	BC	474	278	195	0004	AE	1	OC
295	199436	BC	485	285	195	0004	MF	1	OC
307	104174	BC	498	293	194.75	0004	EC	1	OC
311	182088	BC	505	297	194.75	0004	CS	2	OC
317	180551	BC	514	305	194.75	0004	AE	1	OC
318	203517	BC	516	307	194.5	0004	CS	2	OC
322	243963	BC	523	311	194.5	0004	EC	1	OC
329	108495	BC	532	314	194.5	0004	CS	2	BC
335	179095	OC	538	-	194.5	0004	CM	4	OC
337	106753	MBC/DNC	542	83	194.5	0004	AE	1	OC
354	150098	OC	564	-	194.5	0004	CM	4	OC
357	101712	BC	568	336	194.5	0004	CS	2	BC
367	148807	BC	582	343	194.5	0004	CS	2	BC
376	159831	BC	595	353	194.5	0004	AE	1	OC
380	245427	MBC/DNC	608	91	194.25	0004	CS	2	MBC_DNC
383	127899	BC	615	367	194.25	0004	CS	2	BC
387	136813	MBC/DNC	624	97	194.25	0004	EC	2	OC
390	106112	BC	628	375	194	0004	EC	1	OC
399	174666	MBC/DNC	637	100	194	0004	EC	2	OC
402	163978	OC	641	-	194	0004	CM	4	OC
413	132798	OC	657	-	194	0004	CM	4	OC
415	148443	BC	659	391	194	0004	CS	2	BC
431	207786	OC	678	-	194	0004	CM	4	OC
441	202020	BC	689B	404B	194	0004	CS	3	BC
457	153044	BC	714	418	194	0004	CS	3	BC
463	225075	BC	721	423	194	0004	CS	3	BC
466	191796	BC	727	428	194	0004	CS	1	BC
468	161366	OC	730	-	194	0004	CM	4	OC
469	233292	BC	731	430	194	0004	CS	3	BC
473	144006	OC	736	-	194	0004	CM	4	OC
480	176855	OC	745	-	193.75	0004	CM	5	OC
486	236187	BC	755	442	193.75	0004	CS	3	BC
489	164418	OC	762	-	193.67	0004	CM	4	OC
490	190347	BC	763	445	193.67	0004	CS	3	BC
493	187727	MBC/DNC	766	120	193.5	0004	CS	2	MBC_DNC
495	180423	OC	768	-	193.5	0004	CM	4	OC
500	144355	BC	773	453	193.5	0004	CS	3	BC
501	182185	BC	774	454	193.5	0004	EC	4	OC
505	124135	BC	779	459	193.5	0004	EC	3	OC
508	166003	BC	784	462	193.5	0004	CS	2	BC
515	209367	BC	791	467	193.5	0004	EC	4	OC
529	229975	MBC/DNC	810	128	193.5	0004	CS	1	MBC_DNC
530	149896	OC	812	-	193.5	0004	CM	4	OC
536	152710	BC	819	486	193.5	0004	EC	4	OC
541	126537	OC	825	-	193.5	0004	CM	4	OC
543	191477	OC	831	-	193.5	0004	EC	4	OC
549	170597	SCA	840	2	193.5	0004	AE	1	OC
552	231601	BC	844	504	193.5	0004	EC	3	BC
553	122194	BC	845	505	193.33	0004	CS	3	BC
555	227138	BC	847	507	193.33	0004	EC	1	BC
562	163616	BC	857	515	193.25	0004	CS	3	BC
566	240465	BC	863	520	193.25	0004	EC	3	BC
569	183109	BC	866	522	193.25	0004	EC	3	BC
